,Artist,Title,emotion
1797,BeyoncÃ©,Crazy In Love (The Beyonce Experience Live),romance
1798,BeyoncÃ©,The Spot (Jail),romance
1799,Justin Bieber,Boyfriend (Acoustic),romance
1800,Seal,Kiss from a Rose,romance
1801,BeyoncÃ©,Rocket,romance
1802,Billie Eilish,COPYCAT[live in London],romance
1803,Ronan Keating,If Tomorrow Never Comes,romance
1804,Melody Gardot,Once I Was Loved,romance
1805,Maroon 5,Kiss,romance
1806,Ariana Grande,Miss Me*,romance
1807,BeyoncÃ©,Love Me...,romance
1808,Ariana Grande,Nobody Does It Better,romance
1809,BeyoncÃ©,Diva (Karmatronic Club Remix),romance
1810,Billie Eilish,​​my boy (TroyBoi Remix),romance
1811,Eminem,Superman,romance
1812,Melody Gardot,If Ever I Recall Your Face,romance
1813,Eminem,I Kissed a Boy,romance
1814,BeyoncÃ©,MY POWER,romance
1815,Justin Bieber,One Love,romance
1816,BeyoncÃ©,BIGGER,romance
1817,Billie Eilish,Fingers Crossed,romance
1818,Justin Bieber,Favorite Girl,romance
1819,Whitney Houston,Greatest Love of All,romance
1820,Ariana Grande,34+35 (Remix),romance
1821,Ariana Grande,Problem (No Rap Version),romance
1822,Leonard Cohen,Suzanne,romance
1823,Eminem,The Apple,romance
1824,Ariana Grande,In My Head (Music Video Version),romance
1825,Cardi B,Lit Thot,romance
1826,Maroon 5,Never Gonna Leave This Bed (Acoustic),romance
1827,BeyoncÃ©,Free Fall,romance
1828,BeyoncÃ©,"Me, Myself and I (BeyoncÃ© Experience Live)",romance
1829,BeyoncÃ©,Bow Down (Homecoming Live),romance
1830,Billie Eilish,Hostage[killer frost remix],romance
1831,Lady Gaga,Always remember us this way Greek translation,romance
1832,Billie Eilish,You should see me in a crown[live from Ellen],romance
1833,Justin Bieber,Boyfriend,romance
1834,Ariana Grande,Vienna (cover song),romance
1835,Nicki Minaj,My Heart 2 You,romance
1836,Ariana Grande,Snow In California,romance
1837,Justin Bieber,Heroine (Let’s Stay Together),romance
1838,Post Malone,The One,romance
1839,Lady Gaga,"Bewitched, Bothered and Bewildered",romance
1840,Taylor Swift,Superman,romance
1841,Ariana Grande,Touch It (Final Fantasy Brave Exvius Remix),romance
1842,Justin Bieber,All I Want Is You (Acoustic),romance
1843,Selena Gomez,Can't Steal Our Love,romance
1844,BeyoncÃ©,I Been On,romance
1845,BeyoncÃ©,Back Up,romance
1846,BeyoncÃ©,Drunk In Love (T.I. Remix),romance
1847,Billie Eilish,​bellyache (Marian Hill Remix),romance
1848,Ariana Grande,Sniffer Dogs,romance
1849,BeyoncÃ©,I Was Here,romance
1850,Ariana Grande,Side To Side,romance
1851,Caro Emerald,A Night Like This,romance
1852,Justin Bieber,Take You (Acoustic),romance
1853,BeyoncÃ©,If I Were a Boy,romance
1854,Robbie Williams,Eternity - Orchestral Version,romance
1855,Taylor Swift,Mine,romance
1856,BeyoncÃ©,Baby Boy (Homecoming Live),romance
1857,Elvis Costello,She,romance
1858,Joe Cocker,You Are So Beautiful,romance
1859,Ariana Grande,positions,romance
1860,BeyoncÃ©,Crazy In Love (Remix),romance
1861,Justin Bieber,PYD,romance
1862,BeyoncÃ©,Hold Up,romance
1863,Patrizio Buanne,On An Evening In Roma,romance
1864,Ariana Grande,Venuss*,romance
1865,Ariana Grande,Problem (Wayne G Radio Edit),romance
1866,Selena Gomez,Wild Love,romance
1867,Eminem,Love You More,romance
1868,Cardi B,Bodak Yellow (Remix),romance
1869,Adele,Someone Like You,romance
