,Artist,Title,emotion
309,Taylor Swift,the lakes,calm
310,Taylor Swift,New Year's Day,calm
311,Taylor Swift,dorothea,calm
312,Taylor Swift,Clean,calm
313,Taylor Swift,It's Nice to Have a Friend,calm
314,Taylor Swift,Safe & Sound,calm
315,Taylor Swift,If You're Anything Like Me [Poem],calm
316,Taylor Swift,Untouchable,calm
317,Taylor Swift,Unreleased Songs [Discography List],calm
318,Taylor Swift,A Place In This World,calm
319,Taylor Swift,Sweet Tea and God's Graces,calm
320,Taylor Swift,Clean Speeches,calm
321,Taylor Swift,Silent Night,calm
322,Taylor Swift,White Christmas,calm
323,Taylor Swift,Never Mind,calm
324,Taylor Swift,Delicate Speeches,calm
325,Taylor Swift,30 Things I Learned Before Turning 30,calm
326,Taylor Swift,The Diary of Me,calm
327,Taylor Swift,Welcome Distraction,calm
328,Taylor Swift,You Don't Have To Call  Me,calm
329,Taylor Swift,The Trick to Holding On [Poem],calm
330,Taylor Swift,Your Anything,calm
331,Taylor Swift,All Night Diner,calm
332,Taylor Swift,Am I Ready for Love,calm
333,Taylor Swift,Tell Me,calm
334,Taylor Swift,Folklore [Foreword],calm
335,Taylor Swift,Monologue Song (La La La),calm
336,Taylor Swift,cardigan (cabin in candlelight version),calm
337,Taylor Swift,The Making Of A Song - Gorgeous',calm
338,Taylor Swift,Writing Songs About You,calm
339,Taylor Swift,Just South of Knowing Why,calm
340,Taylor Swift,Ten Dollars And A Six Pack,calm
341,Taylor Swift,Smokey Black Nights,calm
342,Taylor Swift,Better Off,calm
343,Taylor Swift,Gracie,calm
344,Taylor Swift,A Place In This World (Live from SoHo),calm
345,Taylor Swift,My Turn To Be Me,calm
346,Taylor Swift,The Future of Music Is a Love Story,calm
347,Taylor Swift,You Do,calm
348,Taylor Swift,My Cure,calm
349,Taylor Swift,Firefly,calm
350,Taylor Swift,Honey Baby,calm
351,Taylor Swift,Riptide,calm
352,Taylor Swift,Breathless,calm
353,Taylor Swift,What To Wear,calm
354,Taylor Swift,Closest To A Cowboy,calm
355,Taylor Swift,Point of View,calm
356,Taylor Swift,Who I've Always Been,calm
357,Taylor Swift,That's Life,calm
358,Taylor Swift,I Used To Fly,calm
359,Taylor Swift,I Forgot That You Existed (Piano/Vocal),calm
360,Taylor Swift,Nothin' New,calm
361,Taylor Swift,Mandolin,calm
362,Taylor Swift,I'm Looking Out For You,calm
363,Taylor Swift,Rain Song,calm
364,Taylor Swift,This Here Guitar,calm
365,Taylor Swift,Clean/Long Live/New Year's Day,calm
366,Taylor Swift,Cornelia Street (Live from Paris),calm
367,Taylor Swift,Daylight (Live from Paris),calm
368,Taylor Swift,the lakes (the long pond studio sessions),calm
369,Taylor Swift,mirrorball (the long pond studio sessions),calm
370,Taylor Swift,invisible string (the long pond studio sessions),calm
371,Taylor Swift,peace (the long pond studio sessions),calm
372,Taylor Swift,Untouchable (Live from Clear  Channel Stripped 2008),calm
373,Taylor Swift,Find you,calm
374,Lady Gaga,"Retro, Dance, Freak",joy
375,Post Malone,Git Wit U,joy
376,Selena Gomez,Praise You,joy
377,Selena Gomez,Bidi Bidi Bom Bom,joy
378,Nicki Minaj,Beam Me Up Scotty,joy
379,Selena Gomez,Birthday,joy
380,Justin Bieber,Love Me,joy
381,Eminem,Shake That,joy
382,Maroon 5,New Love,joy
383,Selena Gomez,Souvenir,joy
384,Eminem,2012 Something From Nothing: Art of Rap Freestyle,joy
385,Justin Bieber,What’s Hatnin’,joy
386,Lady Gaga,Orange Colored Sky (Live),joy
387,Lady Gaga,Love Game/Poker Face - Medley - Live at MMVA 09,joy
388,Eminem,I Get Money,joy
389,Eminem,First Word Freestyle,joy
390,Taylor Swift,Here You Come Again,joy
391,Maroon 5,Don’t Wanna Know,joy
392,Eminem,Pooh Butt Day,joy
393,Selena Gomez,Come & Get It (DJ M3 Mixshow Extended Remix),joy
394,Eminem,The Real Slim Shady,joy
395,Lady Gaga,HIGH NIGHT,joy
396,Taylor Swift,Our Song,joy
397,Eminem,Mancow (Freestyle),joy
398,Eminem,Off The Dome Freestyle,joy
399,Selena Gomez,All Night Long,joy
400,Eminem,8 Mile: Sweet Home Alabama Freestyle,joy
401,Nicki Minaj,Pound the Alarm (music video),joy
402,Eminem,Eminem Freestyle (Hollywood Homicide),joy
403,Selena Gomez,Congratulations to Me,joy
404,Nicki Minaj,Woohoo,joy
405,Lady Gaga,Do What U Want (Steven Redant Barcelona Remix),joy
406,Justin Bieber,Intentions,joy
407,Taylor Swift,Happy Voting! 🗳😃🌈,joy
408,Nicki Minaj,Easy,joy
409,Eminem,Crackers And Cheese,joy
410,Lady Gaga,Grigio Girls,joy
411,Eminem,Kurt Loder Car Freestyle,joy
412,Maroon 5,Lovely Day,joy
413,Taylor Swift,Speak Now (Live/2011),joy
414,Maroon 5,Love Somebody,joy
415,Eminem,FACK,joy
416,Eminem,Hip Hop,joy
417,Nicki Minaj,Pound the Alarm,joy
418,Eminem,Without Me (A Cappella),joy
419,Taylor Swift,Sugar,joy
420,Eminem,My Dad’s Gone Crazy,joy
421,Taylor Swift,Ours,joy
422,Eminem,Just Lose It,joy
423,Billie Eilish,​another stupid song*,joy
424,Justin Bieber,Baby’s In Love,joy
425,Eminem,Without Me,joy
426,Selena Gomez,Come & Get It (Dave Audio Club Remix),joy
427,Selena Gomez,Same Old Love (Romos Remix),joy
428,Justin Bieber,Yummy (Country Remix),joy
429,Taylor Swift,Sweeter Than Fiction,joy
430,Billie Eilish,Hostage[aporia remix],joy
431,Eminem,DJ Fashion Freestyle,joy
432,Eminem,Eminem Music Videos,joy
433,Lady Gaga,Filthy Pop (Rob Fusari Version),joy
434,Eminem,Rhyme Time With Eminem,joy
435,Nicki Minaj,Pound the Alarm (Nicole Chen mix),joy
436,Taylor Swift,Dancing In The Dark / Livin' On A Prayer,joy
437,Post Malone,Wow. (Remix),joy
438,Nicki Minaj,Intro (Barbie World),joy
439,Eminem,Radio Freestyle 2,joy
440,Lady Gaga,Little Monsters,joy
441,Taylor Swift,Fearless (Live From Clear Channel Stripped 2008),joy
442,Eminem,Rap City Freestyle (Keeping It Raw),joy
443,Taylor Swift,Holy Ground,joy
444,Maroon 5,It Was Always You,joy
445,Taylor Swift,I Forgot That You Existed,joy
446,Lady Gaga,Just Dance - Live at Cherrytree House Stripped Down Version,joy
447,Nicki Minaj,NickiWRLDTour (Visual Intro Europe),joy
448,Taylor Swift,Nashville (Live/2011),joy
449,Taylor Swift,Fifteen,joy
450,Post Malone,Drippin,joy
451,Eminem,1996 Underground Freestyle,joy
452,Selena Gomez,Slow Down (Chew Fu Refix),joy
453,Maroon 5,Girls Like You (Remix Live),joy
454,Justin Bieber,One Dance (Remix),joy
455,Taylor Swift,happiness,joy
456,Taylor Swift,You Need To Calm Down,joy
457,Selena Gomez,Shake It Up (Theme Song) [Cole Plante Reboot Remix],joy
458,Eminem,Real Slim Shady (EDIT),joy
459,Taylor Swift,You Need To Calm Down (Live from Paris),joy
460,Eminem,My Name Is (Radio Edit),joy
